D�tail des appels

Compte factur�;Num�ro d'appel;Nom de l'abonn�;N� Facture;Date de facture;N� abonn�;Date;Heure;Num�ro appel�/service;Dur�e/volume r�el;Dur�e/volume factur�;Type ;Montant EUR HT
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;31/10/2012;18:28:20;orange;199.0;199.0;connexion 3G/3G+;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;31/10/2012;17:24:40;orange;26.0;26.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;31/10/2012;16:24:07;33685323492;00:01:14;00:01:14;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;15:01:03;33632648325;00:00:03;00:00:03;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;14:02:13;33632648325;00:33:32;00:33:32;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;12:42:04;navigow;45.0;45.0;connexion 3G/3G+;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;12:41:16;navigtvvi;33.0;33.0;connexion 3G/3G+;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;10:21:27;33632648325;00:04:34;00:04:34;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;10:01:26;33677649324;00:17:49;00:17:49;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;08:48:57;33661591625;00:01:28;00:01:28;appel de mobile Orange � mobile Orange;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;08:44:46;33677649324;00:00:04;00:00:04;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;30/10/2012;05:29:20;orange;394.0;394.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;18:16:17;orange;7.0;7.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;18:05:26;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;18:05:21;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;13:44:46;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;13:44:45;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;12:03:47;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;12:03:46;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;09:19:53;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;08:46:25;orange;268.0;268.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;08:23:34;33632648325;00:14:54;00:14:54;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;08:14:48;33632648325;00:00:03;00:00:03;appels internes;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;08:14:39;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;08:14:35;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;07:14:24;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;29/10/2012;07:14:22;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;28/10/2012;12:21:49;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;28/10/2012;12:21:47;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;28/10/2012;09:37:54;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;16:39:42;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;12:20:00;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;12:19:58;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;10:41:52;orange;196.0;196.0;connexion 3G/3G+;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;10:33:03;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;10:32:43;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;09:48:12;orange;3.0;3.0;connexion 3G/3G+;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;08:51:24;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;08:51:14;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;27/10/2012;08:26:11;orange;12.0;12.0;connexion 3G/3G+;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;20:40:47;33603526737;;;envoi de sms depuis le mobile;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;20:39:24;33603526737;;;envoi de sms depuis le mobile;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;20:29:02;orange;5.0;5.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;20:20:06;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;20:20:04;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;19:19:44;orange;1.0;1.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;19:19:42;orange;2.0;2.0;connexion 3G;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;18:17:01;33669147348;00:01:43;00:01:43;appel vers Bouygues Tel.;0.0
30703328;0607021672;jean dupont;60250980;31/10/2012;22160509;26/10/2012;18:16:20;orange;2.0;2.0;connexion 3G;0.0
